current rank,Manufacturer/Country,Computer/System Model,Name,where this supercomputer present,Cores	,        Rmax (PFlop/s),Rpeak (PFlop/s),Power (kW)
325,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet,",,Bank G,"50,400",2.19,4.82,
326,"Preferred Networks
                
                
                    Japan","- MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect,",MN-3,Preferred Networks,"1,664",2.18,3.35,53
327,"Lenovo
                
                
                    Germany","- ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",B4A,Software Company MGER,"49,280",2.17,4.26,
328,"Lenovo
                
                
                    United States","ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",,Software Company MUS,"49,280",2.17,4.26,
329,"Lenovo
                
                
                    United States","ThinkSystem C2397, Xeon Platinum 8280 28C 2.7GHz, 100G Ethernet,",,Software Company MUS,"49,280",2.17,4.26,
330,"Lenovo
                
                
                    China","- Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet,",H1,Service Provider T,"52,000",2.17,4.16,
331,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR,",,Internet Service (S),"49,800",2.16,4.42,
332,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR,",,Internet Service (S),"49,800",2.16,4.42,
333,"Inspur
                
                
                    China","Inspur NF5468M5, Xeon Gold 6146 12C 3.2GHz, NVIDIA Tesla V100, Infiniband EDR,",,Internet Service (S),"49,800",2.16,4.42,
334,"Lenovo
                
                
                    China","ThinkSystem HR630X, Xeon Silver 4110 8C 2.1GHz, 10G Ethernet,",,Service Provider T,"128,000",2.16,4.3,
335,"Sugon
                
                
                    China","Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet,",,Internet Company,"121,920",2.15,8.97,"1,625"
336,"HPE
                
                
                    United States","- Cray CS500, AMD EPYC 7542 32C 2.9GHz, InfiniBand HDR100,",Betty,US Army Research Laboratory (ARL),"94,976",2.13,4.41,
337,"Lenovo
                
                
                    China","ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet,",,DJIT Company,"96,640",2.13,7.11,
338,"Lenovo
                
                
                    Netherlands","- ThinkSystem SR645, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR100,",Snellius Phase 1 CPU,SURF,"73,728",2.13,3.07,504
339,"MEGWARE
                
                
                    Germany","- Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100,",HSUper,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,"41,832",2.13,3.21,401
340,"HPE
                
                
                    Australia","- HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10,",Setonix,"Pawsey Supercomputing Centre, Kensington, Western Australia","65,536",2.12,2.57,
